;any;not any;restricted any;total vars;unknown calls;total calls\\
graphpl&0,5486&0,4263&0,0251&319&0,0787&127\\
webconsole&0,8608&0,1139&0,0253&79&0,5385&52\\
hdt&0,8741&0,1259&0,0000&135&0,3654&52\\
no_repeats&0,7910&0,1716&0,0373&134&0,4333&60\\
rtp_qsndqs&0,6054&0,3946&0,0000&223&0,0000&45\\
simple_web&0,8194&0,1701&0,0104&288&0,5580&181\\
rdfs2pl&0,7106&0,2830&0,0064&311&0,3191&188\\
file_scope&0,8629&0,1129&0,0242&124&0,6702&94\\
atom_feed&0,8462&0,1385&0,0154&130&0,3485&66\\
swipe&1,0000&0,0000&0,0000&181&0,4545&22\\
msgpack&0,8947&0,1053&0,0000&399&0,0638&47\\
fine_upload&0,8144&0,1856&0,0000&97&0,5593&59\\
pac4pl&0,8304&0,1696&0,0000&230&0,5545&101\\
dpath&0,7700&0,2160&0,0141&426&0,2413&373\\
edcg&0,6279&0,3659&0,0062&645&0,1276&243\\
sweet&0,7320&0,2680&0,0000&97&0,1607&56\\
arouter&0,7771&0,2229&0,0000&175&0,3896&154\\
multimodal_dcg&0,8567&0,1371&0,0062&321&0,4538&119\\
pinyin&0,6379&0,3621&0,0000&232&0,1579&76\\
httplog&0,7500&0,2500&0,0000&212&0,2889&90\\
mqtt&0,9074&0,0926&0,0000&54&0,5185&27\\
wordnet&0,8734&0,1266&0,0000&158&0,7042&71\\
googleclient&0,8370&0,1630&0,0000&276&0,5813&160\\
evil&0,7432&0,2568&0,0000&74&0,3500&40\\
mathml&0,7783&0,1951&0,0266&451&0,1365&293\\
rocksdb&0,8000&0,2000&0,0000&85&0,8043&92\\
smtp&0,8208&0,1750&0,0042&240&0,4426&122\\
bddem&0,7028&0,2972&0,0000&212&0,5758&165\\
sparkle&0,9413&0,0587&0,0000&375&0,5294&68\\
musicxml&0,7662&0,2338&0,0000&278&0,4915&118\\
subclause_expansion&0,8578&0,1239&0,0183&218&0,5455&154\\
pljulia&0,9482&0,0518&0,0000&309&0,6750&40\\
lib_atts&0,8676&0,1185&0,0139&287&0,3125&128\\
ct_fft&0,5126&0,4523&0,0351&911&0,0175&686\\
plcomplex&0,5126&0,4523&0,0351&911&0,0175&686\\
loop_check&0,8954&0,0915&0,0131&153&0,3600&75\\
call_cleaup_each&0,8095&0,1905&0,0000&42&0,5000&22\\
each_call_cleanup&0,8095&0,1905&0,0000&42&0,5000&22\\
fileutils&0,8268&0,1508&0,0223&179&0,4368&87\\
