; ;0;;;; ;1;;;; ;6;;;
; ;any;not any;restricted any;total; ;any;not any;restricted any;total; ;any;not any;restricted any;total
djson; ;0,88;0,12;0,00;33; ;0,70;0,30;0,00;33; ;0,70;0,30;0,00;33
consul_client; ;0,16;0,84;0,00;49; ;0,16;0,84;0,00;49; ;0,16;0,84;0,00;49
uri_qq; ;0,80;0,20;0,00;84; ;0,80;0,20;0,00;84; ;0,80;0,20;0,00;84
auc; ;0,45;0,55;0,00;182; ;0,45;0,55;0,00;182; ;0,45;0,55;0,00;182
dirtree; ;0,94;0,06;0,00;140; ;0,93;0,07;0,00;140; ;0,93;0,07;0,00;140
maybe; ;0,94;0,06;0,00;32; ;0,94;0,06;0,00;32; ;0,94;0,06;0,00;32
dcg_util; ;0,97;0,03;0,00;37; ;0,97;0,03;0,00;37; ;0,97;0,03;0,00;37
amazon_api; ;0,73;0,27;0,00;56; ;0,73;0,27;0,00;56; ;0,73;0,27;0,00;56
inotify; ;0,82;0,14;0,04;57; ;0,79;0,18;0,04;57; ;0,79;0,18;0,04;57
recaptcha; ;0,86;0,14;0,00;49; ;0,86;0,14;0,00;49; ;0,86;0,14;0,00;49
with_state; ;0,79;0,21;0,00;216; ;0,76;0,24;0,00;216; ;0,76;0,24;0,00;216
tokenize; ;0,95;0,05;0,00;131; ;0,94;0,06;0,00;131; ;0,94;0,06;0,00;131
mpi; ;1,00;0,00;0,00;3; ;1,00;0,00;0,00;3; ;1,00;0,00;0,00;3
format_spec; ;0,78;0,22;0,00;83; ;0,77;0,23;0,00;83; ;0,77;0,23;0,00;83
midiutils; ;0,86;0,14;0,00;49; ;0,84;0,16;0,00;49; ;0,84;0,16;0,00;49
edcgs; ;0,63;0,34;0,02;178; ;0,60;0,38;0,02;178; ;0,60;0,38;0,02;178
jwt_io; ;0,74;0,26;0,00;58; ;0,72;0,28;0,00;58; ;0,72;0,28;0,00;58
plosc; ;0,91;0,09;0,00;75; ;0,88;0,12;0,00;75; ;0,88;0,12;0,00;75
semantria; ;0,79;0,21;0,00;57; ;0,79;0,21;0,00;57; ;0,79;0,21;0,00;57
fld; ;0,60;0,40;0,00;132; ;0,57;0,43;0,00;132; ;0,57;0,43;0,00;132
lambda_abstractions; ;0,93;0,07;0,00;61; ;0,93;0,07;0,00;61; ;0,93;0,07;0,00;61
index_util; ;0,69;0,31;0,00;86; ;0,69;0,31;0,00;86; ;0,69;0,31;0,00;86
turing; ;0,76;0,24;0,00;110; ;0,76;0,24;0,00;110; ;0,76;0,24;0,00;110
func; ;0,33;0,67;0,00;54; ;0,33;0,67;0,00;54; ;0,33;0,67;0,00;54
miser; ;0,74;0,26;0,00;383; ;0,71;0,29;0,00;383; ;0,70;0,30;0,00;383
tap; ;0,80;0,20;0,00;97; ;0,76;0,24;0,00;97; ;0,76;0,24;0,00;97
by_unix; ;0,71;0,29;0,00;90; ;0,67;0,33;0,00;90; ;0,67;0,33;0,00;90
pl_omdb; ;0,87;0,12;0,01;190; ;0,86;0,13;0,01;190; ;0,86;0,13;0,01;190
mavis; ;0,87;0,12;0,01;75; ;0,83;0,16;0,01;75; ;0,83;0,16;0,01;75
race; ;0,85;0,15;0,01;261; ;0,85;0,15;0,01;261; ;0,85;0,15;0,01;261
quickcheck; ;0,58;0,42;0,00;122; ;0,57;0,43;0,00;122; ;0,57;0,43;0,00;122
rdf_notification; ;0,93;0,07;0,00;102; ;0,92;0,08;0,00;102; ;0,92;0,08;0,00;102
delay; ;0,74;0,26;0,00;97; ;0,68;0,32;0,00;97; ;0,68;0,32;0,00;97
lbfgs; ;0,80;0,20;0,00;70; ;0,79;0,21;0,00;70; ;0,79;0,21;0,00;70
sindice; ;0,99;0,01;0,00;74; ;0,99;0,01;0,00;74; ;0,99;0,01;0,00;74
spawn; ;0,19;0,81;0,00;37; ;0,22;0,78;0,00;37; ;0,27;0,73;0,00;37
dcg4pt; ;0,35;0,62;0,04;190; ;0,38;0,58;0,04;190; ;0,38;0,58;0,04;190
ical; ;1,00;0,00;0,00;80; ;1,00;0,00;0,00;80; ;1,00;0,00;0,00;80
jolog; ;0,15;0,85;0,00;74; ;0,15;0,85;0,00;74; ;0,15;0,85;0,00;74
graphpl; ;0,53;0,45;0,03;292; ;0,52;0,46;0,03;292; ;0,51;0,47;0,03;292
webconsole; ;0,86;0,11;0,03;72; ;0,85;0,13;0,03;72; ;0,85;0,13;0,03;72
hdt; ;0,85;0,15;0,00;111; ;0,85;0,15;0,00;111; ;0,85;0,15;0,00;111
no_repeats; ;0,80;0,17;0,04;127; ;0,80;0,17;0,04;127; ;0,80;0,17;0,04;127
rtp_qsndqs; ;0,65;0,35;0,00;222; ;0,62;0,38;0,00;222; ;0,60;0,40;0,00;222
simple_web; ;0,81;0,18;0,01;279; ;0,81;0,18;0,01;279; ;0,81;0,18;0,01;279
rdfs2pl; ;0,73;0,27;0,01;280; ;0,69;0,30;0,01;280; ;0,68;0,31;0,01;280
file_scope; ;0,87;0,11;0,03;113; ;0,85;0,12;0,03;113; ;0,85;0,12;0,03;113
atom_feed; ;0,84;0,14;0,02;115; ;0,83;0,16;0,02;115; ;0,83;0,16;0,02;115
swipe; ;1,00;0,00;0,00;165; ;1,00;0,00;0,00;165; ;1,00;0,00;0,00;165
msgpack; ;0,10;0,90;0,00;397; ;0,11;0,89;0,00;397; ;0,11;0,89;0,00;397
fine_upload; ;0,87;0,13;0,00;92; ;0,80;0,20;0,00;92; ;0,80;0,20;0,00;92
pac4pl; ;0,81;0,19;0,00;201; ;0,81;0,19;0,00;201; ;0,81;0,19;0,00;201
dpath; ;0,77;0,21;0,01;422; ;0,77;0,22;0,01;422; ;0,77;0,22;0,01;422
edcg; ;0,67;0,33;0,01;586; ;0,38;0,61;0,01;586; ;0,40;0,59;0,01;586
sweet; ;0,75;0,25;0,00;96; ;0,73;0,27;0,00;96; ;0,73;0,27;0,00;96
arouter; ;0,80;0,20;0,00;163; ;0,76;0,24;0,00;163; ;0,76;0,24;0,00;163
multimodal_dcg; ;0,86;0,13;0,01;300; ;0,85;0,14;0,01;300; ;0,85;0,14;0,01;300
pinyin; ;0,74;0,26;0,00;223; ;0,36;0,64;0,00;223; ;0,38;0,62;0,00;223
httplog; ;0,26;0,74;0,00;184; ;0,27;0,73;0,00;184; ;0,29;0,71;0,00;184
mqtt; ;0,96;0,04;0,00;54; ;0,93;0,07;0,00;54; ;0,91;0,09;0,00;54
wordnet; ;0,87;0,13;0,00;156; ;0,87;0,13;0,00;156; ;0,87;0,13;0,00;156
googleclient; ;0,84;0,16;0,00;242; ;0,81;0,19;0,00;242; ;0,81;0,19;0,00;242
evil; ;0,78;0,22;0,00;72; ;0,74;0,26;0,00;72; ;0,74;0,26;0,00;72
mathml; ;0,20;0,77;0,03;432; ;0,20;0,77;0,03;432; ;0,20;0,77;0,03;432
rocksdb; ;0,80;0,20;0,00;83; ;0,80;0,20;0,00;83; ;0,80;0,20;0,00;83
smtp; ;0,14;0,85;0,00;220; ;0,18;0,82;0,00;220; ;0,18;0,82;0,00;220
bddem; ;0,26;0,74;0,00;196; ;0,31;0,69;0,00;196; ;0,32;0,68;0,00;196
