; ;0;;;; ;1;;;; ;6;;;
; ;any;not any;restricted any;total; ;any;not any;restricted any;total; ;any;not any;restricted any;total
djson; ;0,90;0,10;0,00;41; ;0,76;0,24;0,00;41; ;0,76;0,24;0,00;41
consul_client; ;0,14;0,86;0,00;57; ;0,14;0,86;0,00;57; ;0,14;0,86;0,00;57
uri_qq; ;0,80;0,20;0,00;86; ;0,80;0,20;0,00;86; ;0,80;0,20;0,00;86
auc; ;0,51;0,49;0,00;203; ;0,51;0,49;0,00;203; ;0,51;0,49;0,00;203
dirtree; ;0,94;0,06;0,00;145; ;0,93;0,07;0,00;145; ;0,93;0,07;0,00;145
maybe; ;0,94;0,06;0,00;36; ;0,94;0,06;0,00;36; ;0,94;0,06;0,00;36
dcg_util; ;0,97;0,03;0,00;38; ;0,97;0,03;0,00;38; ;0,97;0,03;0,00;38
amazon_api; ;0,79;0,21;0,00;72; ;0,79;0,21;0,00;72; ;0,79;0,21;0,00;72
inotify; ;0,87;0,11;0,03;75; ;0,84;0,13;0,03;75; ;0,84;0,13;0,03;75
recaptcha; ;0,87;0,13;0,00;53; ;0,87;0,13;0,00;53; ;0,87;0,13;0,00;53
with_state; ;0,84;0,16;0,00;280; ;0,81;0,19;0,00;280; ;0,81;0,19;0,00;280
tokenize; ;0,95;0,05;0,00;132; ;0,94;0,06;0,00;132; ;0,94;0,06;0,00;132
mpi; ;1,00;0,00;0,00;3; ;1,00;0,00;0,00;3; ;1,00;0,00;0,00;3
format_spec; ;0,80;0,20;0,00;96; ;0,79;0,21;0,00;96; ;0,79;0,21;0,00;96
midiutils; ;0,85;0,15;0,00;52; ;0,81;0,19;0,00;52; ;0,81;0,19;0,00;52
edcgs; ;0,64;0,34;0,02;179; ;0,60;0,38;0,02;179; ;0,60;0,38;0,02;179
jwt_io; ;0,76;0,24;0,00;63; ;0,75;0,25;0,00;63; ;0,75;0,25;0,00;63
plosc; ;0,91;0,09;0,00;81; ;0,89;0,11;0,00;81; ;0,89;0,11;0,00;81
semantria; ;0,80;0,20;0,00;66; ;0,80;0,20;0,00;66; ;0,80;0,20;0,00;66
fld; ;0,65;0,35;0,00;151; ;0,62;0,38;0,00;151; ;0,62;0,38;0,00;151
lambda_abstractions; ;0,94;0,06;0,00;62; ;0,94;0,06;0,00;62; ;0,94;0,06;0,00;62
index_util; ;0,71;0,29;0,00;92; ;0,71;0,29;0,00;92; ;0,71;0,29;0,00;92
turing; ;0,78;0,22;0,00;120; ;0,78;0,22;0,00;120; ;0,78;0,22;0,00;120
func; ;0,27;0,73;0,00;66; ;0,27;0,73;0,00;66; ;0,27;0,73;0,00;66
miser; ;0,75;0,25;0,00;403; ;0,73;0,27;0,00;403; ;0,72;0,28;0,00;403
tap; ;0,82;0,18;0,00;107; ;0,79;0,21;0,00;107; ;0,79;0,21;0,00;107
by_unix; ;0,74;0,26;0,00;103; ;0,70;0,30;0,00;103; ;0,70;0,30;0,00;103
pl_omdb; ;0,87;0,12;0,01;206; ;0,86;0,13;0,01;206; ;0,86;0,13;0,01;206
mavis; ;0,88;0,09;0,02;95; ;0,85;0,13;0,02;95; ;0,85;0,13;0,02;95
race; ;0,86;0,13;0,01;286; ;0,86;0,13;0,01;286; ;0,86;0,13;0,01;286
quickcheck; ;0,62;0,38;0,00;136; ;0,61;0,39;0,00;136; ;0,61;0,39;0,00;136
rdf_notification; ;0,93;0,07;0,00;107; ;0,93;0,07;0,00;107; ;0,93;0,07;0,00;107
delay; ;0,78;0,22;0,00;114; ;0,73;0,27;0,00;114; ;0,73;0,27;0,00;114
lbfgs; ;0,86;0,14;0,00;98; ;0,85;0,15;0,00;98; ;0,85;0,15;0,00;98
sindice; ;0,99;0,01;0,00;75; ;0,99;0,01;0,00;75; ;0,99;0,01;0,00;75
spawn; ;0,18;0,82;0,00;39; ;0,21;0,79;0,00;39; ;0,26;0,74;0,00;39
dcg4pt; ;0,35;0,62;0,04;191; ;0,38;0,58;0,04;191; ;0,38;0,58;0,04;191
ical; ;1,00;0,00;0,00;80; ;1,00;0,00;0,00;80; ;1,00;0,00;0,00;80
jolog; ;0,14;0,86;0,00;79; ;0,14;0,86;0,00;79; ;0,14;0,86;0,00;79
graphpl; ;0,57;0,41;0,03;319; ;0,56;0,42;0,03;319; ;0,55;0,43;0,03;319
