;any;not any;restricted any;total vars;unknown calls;total calls\\
graphpl&0,5068&0,4658&0,0274&292&0,0787&127\\
webconsole&0,8472&0,1250&0,0278&72&0,5385&52\\
hdt&0,8468&0,1532&0,0000&111&0,3654&52\\
no_repeats&0,7953&0,1654&0,0394&127&0,4333&60\\
rtp_qsndqs&0,6036&0,3964&0,0000&222&0,0000&45\\
simple_web&0,8136&0,1756&0,0108&279&0,5580&181\\
rdfs2pl&0,6821&0,3107&0,0071&280&0,3191&188\\
file_scope&0,8496&0,1239&0,0265&113&0,6702&94\\
atom_feed&0,8261&0,1565&0,0174&115&0,3485&66\\
swipe&1,0000&0,0000&0,0000&165&0,4545&22\\
msgpack&0,8942&0,1058&0,0000&397&0,0638&47\\
fine_upload&0,8043&0,1957&0,0000&92&0,5593&59\\
pac4pl&0,8060&0,1940&0,0000&201&0,5545&101\\
dpath&0,7678&0,2180&0,0142&422&0,2413&373\\
edcg&0,5904&0,4027&0,0068&586&0,1276&243\\
sweet&0,7292&0,2708&0,0000&96&0,1607&56\\
arouter&0,7607&0,2393&0,0000&163&0,3896&154\\
multimodal_dcg&0,8533&0,1400&0,0067&300&0,4538&119\\
pinyin&0,6233&0,3767&0,0000&223&0,1579&76\\
httplog&0,7120&0,2880&0,0000&184&0,2889&90\\
mqtt&0,9074&0,0926&0,0000&54&0,5185&27\\
wordnet&0,8718&0,1282&0,0000&156&0,7042&71\\
googleclient&0,8140&0,1860&0,0000&242&0,5813&160\\
evil&0,7361&0,2639&0,0000&72&0,3500&40\\
mathml&0,7685&0,2037&0,0278&432&0,1365&293\\
rocksdb&0,7952&0,2048&0,0000&83&0,8043&92\\
smtp&0,8182&0,1773&0,0045&220&0,4426&122\\
bddem&0,6837&0,3163&0,0000&196&0,5758&165\\
sparkle&0,9433&0,0567&0,0000&353&0,5294&68\\
musicxml&0,7606&0,2394&0,0000&259&0,4915&118\\
subclause_expansion&0,8544&0,1262&0,0194&206&0,5455&154\\
pljulia&0,9470&0,0530&0,0000&302&0,6750&40\\
lib_atts&0,8623&0,1232&0,0145&276&0,3125&128\\
ct_fft&0,5067&0,4574&0,0359&892&0,0175&686\\
plcomplex&0,5067&0,4574&0,0359&892&0,0175&686\\
loop_check&0,8940&0,0927&0,0132&151&0,3600&75\\
call_cleaup_each&0,7895&0,2105&0,0000&38&0,5000&22\\
each_call_cleanup&0,7895&0,2105&0,0000&38&0,5000&22\\
fileutils&0,8229&0,1543&0,0229&175&0,4368&87\\
plfann&0,9733&0,0267&0,0000&75&0,9375&48\\
body_reordering&0,7816&0,2184&0,0000&380&0,2995&187\\
stompl&0,8758&0,1242&0,0000&153&0,5063&79\\
memo&0,8850&0,1150&0,0000&200&0,6341&82\\
kubepl&0,8766&0,1234&0,0000&154&0,2439&41\\
clause_attvars&0,8191&0,1085&0,0724&387&0,5498&271\\
debug_call&0,7816&0,2031&0,0153&261&0,2538&130\\
pha&0,8552&0,1448&0,0000&656&0,5622&185\\
irc_client&0,8052&0,1948&0,0000&349&0,4525&179\\
tidylog&0,9279&0,0721&0,0000&305&0,4211&38\\
cplint_r&0,6723&0,3277&0,0000&119&0,5487&113\\
dict_schema&0,8946&0,1031&0,0022&446&0,1408&142\\
smtlib&0,8867&0,1133&0,0000&300&0,1552&58\\
rdf_matcher&0,5728&0,4178&0,0094&426&0,3870&261\\
vcard&0,9964&0,0036&0,0000&274&0,9839&62\\
dictoo&0,8219&0,1538&0,0243&494&0,4690&258\\
slack_prolog&0,8157&0,1766&0,0077&521&0,4188&382\\
sldnfdraw&0,5915&0,3915&0,0170&470&0,2675&329\\
pcache&0,6376&0,2913&0,0711&436&0,3065&248\\
julian&0,8000&0,1944&0,0056&180&0,4083&120\\
nan_common&0,6287&0,3713&0,0000&474&0,1437&320\\
spuds&0,7356&0,2586&0,0057&174&0,4891&229\\
dia&0,3150&0,6850&0,0000&400&0,0824&340\\
callgraph&0,8780&0,1220&0,0000&377&0,5462&119\\
date_time&0,6604&0,3325&0,0071&848&0,1355&273\\
db_facts&0,7253&0,2667&0,0080&375&0,3060&183\\
options&0,7302&0,2698&0,0000&63&0,2000&25\\
pack_errors&0,7917&0,2045&0,0038&264&0,3084&107\\
mail_standards&0,6938&0,3002&0,0060&1006&0,4154&390\\
gvar_syntax&0,8403&0,1242&0,0355&620&0,4328&335\\
odict&0,8048&0,1600&0,0352&1706&0,1239&702\\
pubmed&0,7836&0,2090&0,0075&268&0,2921&178\\
wgraph&-1,0000&-1,0000&-1,0000&0&&\\
hashtbl&0,7953&0,2019&0,0027&728&0,7731&542\\
prism&0,8209&0,1763&0,0028&363&0,2546&216\\
wsdl&0,8118&0,1843&0,0039&1525&0,4014&573\\
docstore&0,8430&0,1536&0,0034&293&0,4766&214\\
musicbrainz&0,8655&0,1297&0,0049&617&0,3184&179\\
ffimatrix&0,7701&0,2299&0,0000&1396&0,5399&702\\
bibtex&0,7532&0,2468&0,0000&555&0,4916&299\\
prosqlite&0,7143&0,2827&0,0030&329&0,2744&164\\
ldap4pl&0,9505&0,0495&0,0000&646&0,5899&278\\
instant_prolog_docs&0,7721&0,2096&0,0182&768&0,4296&419\\
dcgutils&0,8724&0,1207&0,0069&721&0,4541&185\\
achelois&0,7165&0,2762&0,0074&5439&0,3623&2835\\
list_util&0,7556&0,2259&0,0185&270&0,3600&100\\
indexed_terms&0,7465&0,2437&0,0098&1629&0,4928&970\\
simple_template&0,8049&0,1842&0,0109&1466&0,1933&481\\
rserve_client&0,8830&0,0962&0,0208&1154&0,5188&320\\
chess_db&1,0000&0,0000&0,0000&4&0,5000&2\\
obo_core&1,0000&0,0000&0,0000&273&0,9963&271\\
nan_system_sources&0,7536&0,2257&0,0207&966&0,3779&524\\
link_grammar_prolog&0,8125&0,1875&0,0000&32&0,5385&13\\
plrand&0,7816&0,2184&0,0000&728&0,5217&184\\
genutils&0,8504&0,1485&0,0011&909&0,5128&351\\
http2_client&0,9084&0,0916&0,0000&1364&0,4543&405\\
markdown&0,9459&0,0339&0,0202&1683&0,4830&412\\
upsh&0,6474&0,3404&0,0123&570&0,2381&357\\
rtchecks&0,8175&0,1788&0,0037&537&0,5290&276\\
plumdrum&0,8606&0,1379&0,0015&660&0,3070&114\\
plcairo&1,0000&0,0000&0,0000&3&&\\
